,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
229,0-0,0-1,Returning,40-15,0.461117196057,913,4,2
230,0-0,1-0,Serving,30-0,0.762659451102,2587,2,2
231,0-0,0-1,Returning,0-30,0.237340548898,2587,2,-2
232,0-0,1-0,Serving,30-15,0.69924269744,2773,3,1
233,0-0,0-1,Returning,15-30,0.30075730256,2773,3,-1
234,0-0,1-0,Serving,30-30,0.647228915663,2075,4,0
235,0-0,0-1,Returning,30-30,0.352771084337,2075,4,0
236,0-0,1-0,Serving,30-40,0.575555555556,1350,5,-1
237,0-0,0-1,Returning,40-30,0.424444444444,1350,5,1
238,0-0,1-0,Serving,40-0,0.792941176471,1700,3,3
239,0-0,0-1,Returning,0-40,0.207058823529,1700,3,-3
240,0-0,1-0,Serving,40-15,0.740254051686,2283,4,2
241,0-0,0-1,Returning,15-40,0.259745948314,2283,4,-2
242,0-0,1-0,Serving,40-30,0.700680272109,2058,5,1
243,0-0,0-1,Returning,30-40,0.299319727891,2058,5,-1
244,0-0,1-0,Serving,40-40,0.614917313534,2963,6,0
245,0-0,0-1,Returning,40-40,0.385082686466,2963,6,0
246,0-0,1-0,Serving,40-AD,0.552901023891,1172,7,-1
247,0-0,0-1,Returning,AD-40,0.447098976109,1172,7,1
248,0-0,1-0,Serving,AD-40,0.655499720826,1791,7,1
249,0-0,0-1,Returning,40-AD,0.344500279174,1791,7,-1
250,0-0,1-0,Serving,Start of Game,0.687423873325,6568,0,0
251,0-0,0-1,Returning,Start of Game,0.312576126675,6568,0,0
252,0-0,1-1,Serving,0-15,0.440727272727,6875,1,-1
253,0-0,1-1,Returning,15-0,0.559272727273,6875,1,1
254,0-0,1-1,Serving,0-30,0.386022685693,2733,2,-2
255,0-0,1-1,Returning,30-0,0.613977314307,2733,2,2
256,0-0,1-1,Serving,0-40,0.339555555556,1125,3,-3
257,0-0,1-1,Returning,40-0,0.660444444444,1125,3,3
258,0-0,1-1,Serving,15-0,0.536469762135,11393,1,1
259,0-0,1-1,Returning,0-15,0.463530237865,11393,1,-1
260,0-0,1-1,Serving,15-15,0.484874050862,8297,2,0
261,0-0,1-1,Returning,15-15,0.515125949138,8297,2,0
262,0-0,1-1,Serving,15-30,0.429307015662,4661,3,-1
263,0-0,1-1,Returning,30-15,0.570692984338,4661,3,1
264,0-0,1-1,Serving,15-40,0.362336601307,2448,4,-2
265,0-0,1-1,Returning,40-15,0.637663398693,2448,4,2
266,0-0,1-1,Serving,30-0,0.561420478099,7237,2,2
267,0-0,1-1,Returning,0-30,0.438579521901,7237,2,-2
268,0-0,1-1,Serving,30-15,0.520897832817,7752,3,1
269,0-0,1-1,Returning,15-30,0.479102167183,7752,3,-1
270,0-0,1-1,Serving,30-30,0.47391154112,5788,4,0
271,0-0,1-1,Returning,30-30,0.52608845888,5788,4,0
272,0-0,1-1,Serving,30-40,0.404215581644,3748,5,-1
273,0-0,1-1,Returning,40-30,0.595784418356,3748,5,1
274,0-0,1-1,Serving,40-0,0.575174455487,4729,3,3
275,0-0,1-1,Returning,0-40,0.424825544513,4729,3,-3
276,0-0,1-1,Serving,40-15,0.546451511828,6383,4,2
